City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,76.73,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
2,Kavieng,PG,80.98,few clouds,-2.5744,150.7967,Nusa Island Retreat
12,Villa Rica,US,88.12,scattered clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
19,Tias,ES,76.68,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
21,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
23,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Meulaboh,ID,75.31,overcast clouds,4.1363,96.1285,Kost Pria
32,Dong Hoi,VN,83.43,light rain,17.4833,106.6,Nam Long Hotel
34,Hasaki,JP,77.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
37,Victoria,HK,85.96,light rain,22.2855,114.1577,Mini Hotel Central
41,Namatanai,PG,78.22,light rain,-3.6667,152.4333,Seagulls Inn Namatani
43,Kalmunai,LK,84.07,overcast clouds,7.4167,81.8167,VS Villa
45,Ponta Do Sol,PT,79.72,scattered clouds,32.6667,-17.1,Hotel do Campo
50,Sibolga,ID,75.11,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
51,Atuona,PF,76.8,scattered clouds,-9.8,-139.0333,Villa Enata
52,Butaritari,KI,82.74,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
57,Broome,US,78.01,clear sky,42.2506,-75.833,Chenango Valley State Park
59,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
66,Macara,EC,87.37,clear sky,-4.3833,-79.95,Hostal Macará
68,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
69,Kaohsiung,TW,83.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
70,Saint George,US,86.38,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
73,Buala,SB,78.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
78,Lorengau,PG,81.66,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Yellowknife,CA,81.32,smoke,62.456,-114.3525,The Explorer Hotel
91,Waingapu,ID,76.06,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
93,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
96,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
101,Zonguldak,TR,76.33,clear sky,41.25,31.8333,Süleyman Tez Ev
104,Hamilton,US,80.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
105,Georgetown,MY,76.93,scattered clouds,5.4112,100.3354,Cititel Penang
107,Flin Flon,CA,76.84,smoke,54.7682,-101.865,Victoria Inn Flin Flon
109,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
114,Ternate,ID,81.48,few clouds,0.8,127.4,Grand Dafam Bela Ternate
116,Faanui,PF,77.61,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Katsuura,JP,80.71,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
126,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Jolo,PH,78.76,broken clouds,6.05,121.0167,Narde Tumotod
129,Koutsouras,GR,89.04,clear sky,35.0339,25.9469,The White Houses
131,Tual,ID,81.32,broken clouds,-5.6667,132.75,Grand Vilia Hotel
134,Oktyabrskiy,RU,77.18,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
136,Carbonia,IT,81.84,overcast clouds,39.1672,8.5222,Lu 'Hotel
137,Maragogi,BR,76.75,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
144,Hobyo,SO,79.88,light rain,5.3505,48.5268,Halane Hotel and Restaurent
147,Yanam,IN,84.6,scattered clouds,16.7333,82.2167,The Regency Hotel
148,Dicabisagan,PH,82.2,heavy intensity rain,17.0818,122.4157,Nancy Montanes Bernardo
153,Bitung,ID,77.85,scattered clouds,1.4451,125.1824,K2 Lembeh
154,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
155,Baghmara,IN,81.48,overcast clouds,23.795,86.2085,Shankar tea shop
157,Zhuhai,CN,85.71,light intensity shower rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
158,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
159,Ovalle,CL,82.08,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
161,Kerema,PG,76.57,overcast clouds,-7.9631,145.7785,Frena Lodge
165,Williston,US,83.32,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
167,Tabou,CI,78.64,overcast clouds,4.423,-7.3528,hotêl doufoulougou
