City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,76.73,80,90,5.75,light rain
1,Ushuaia,AR,-54.8,-68.3,42.46,70,20,5.75,few clouds
2,Kavieng,PG,-2.5744,150.7967,80.98,75,12,7.54,few clouds
3,Rikitea,PF,-23.1203,-134.9692,69.08,63,100,22.84,overcast clouds
4,Khatanga,RU,71.9667,102.5,65.59,63,89,8.5,overcast clouds
5,Cap Malheureux,MU,-19.9842,57.6142,70.29,79,12,7.0,light rain
6,Bhainsdehi,IN,21.6467,77.6325,70.92,91,100,9.46,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,16.11,broken clouds
8,Cidreira,BR,-30.1811,-50.2056,61.56,68,4,6.29,clear sky
9,Saskylakh,RU,71.9167,114.0833,68.2,44,0,7.49,clear sky
10,Berdigestyakh,RU,62.0989,126.6992,63.23,58,100,4.14,overcast clouds
11,Albany,US,42.6001,-73.9662,76.89,64,74,1.99,broken clouds
12,Villa Rica,US,33.7321,-84.9191,88.12,84,42,9.93,scattered clouds
13,Sangar,RU,63.9242,127.4739,64.13,56,15,2.21,few clouds
14,Neuquen,AR,-38.9516,-68.0591,49.89,57,0,0.0,clear sky
15,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,31,12.5,scattered clouds
16,Saint-Francois,FR,46.4154,3.9054,71.04,49,0,9.22,clear sky
17,Cherskiy,RU,68.75,161.3,33.24,90,66,15.77,broken clouds
18,Camacha,PT,33.0833,-16.3333,72.82,64,20,14.97,few clouds
19,Tias,ES,28.9611,-13.645,76.68,53,20,29.93,few clouds
20,Verkhniye Tatyshly,RU,56.2912,55.8575,68.58,66,53,6.98,broken clouds
21,Hithadhoo,MV,-0.6,73.0833,81.0,73,100,4.47,overcast clouds
22,Longyearbyen,SJ,78.2186,15.6401,49.84,66,40,13.8,scattered clouds
23,Bengkulu,ID,-3.8004,102.2655,75.38,91,90,3.87,overcast clouds
24,Meulaboh,ID,4.1363,96.1285,75.31,92,100,4.7,overcast clouds
25,Nikolskoye,RU,59.7035,30.7861,66.09,57,76,10.8,broken clouds
26,Bowen,AU,-20.0167,148.2333,68.54,77,10,5.44,clear sky
27,Fortuna,US,40.5982,-124.1573,63.93,88,90,0.0,overcast clouds
28,Kodiak,US,57.79,-152.4072,53.11,94,90,0.0,overcast clouds
29,Roald,NO,62.5833,6.1333,59.16,62,75,11.5,broken clouds
30,Leningradskiy,RU,69.3833,178.4167,35.47,94,100,14.81,overcast clouds
31,Constitucion,CL,-35.3333,-72.4167,61.21,46,2,4.23,clear sky
32,Dong Hoi,VN,17.4833,106.6,83.43,75,100,8.16,light rain
33,Ancud,CL,-41.8697,-73.8203,45.93,60,32,1.95,scattered clouds
34,Hasaki,JP,35.7333,140.8333,77.29,89,1,7.87,clear sky
35,Norman Wells,CA,65.282,-126.8329,69.84,52,1,3.44,clear sky
